latin_name;indicator_value
Aphanochaete repens;7.14
Audouinella hermannii;7.05
Batrachospermum gelatinosum;7.12
Barachospermum keratophytum;5.13
Binuclearia tectorum;5.57
Bulbochaete spp.;6.43
Bulbochaete intermedia var depressa;6.43
Bulbochaete intermmedia;6.43
Bulbochaete norwegia var depressa;6.43
Bulbochaete sp1 ( 75x25u, porer);6.43
Calothrix braunii;6.90
Calothrix fusca;6.98
Calothrix gypsophila;7.18
Calothrix ramenskii;7.18
Capsosira brebissonii;5.19
Chaetophora elegans;7.36
Chamaesiphon amethystinus;6.97
Chamaesiphon confervicola;7.05
Chamaesiphon fuscus;6.91
Chamaesiphon incrustans;7.33
Chamaesiphon minutus;6.79
Chamaesiphon polymorphus;7.02
Chamaesiphon rostafinskii;6.45
Chamaesiphon onchobyrsoides/subglobosus;6.52
Chlorogloea microcystoides;6.89
Cladophora glomerata;7.50
Clastidium rivulare;7.01
Clastidium setigerum;7.09
Closterium tumidulum;6.55
Coleochaete scutata;7.14
Coleodesmium sagarmathae;6.26
Cosmarium reniforme;7.28
Cyanophanon mirabile;6.71
Dichothrix ramenskii;7.18
Draparnaldia glomerata;7.09
Gloeocapsopsis magma;5.71
Hapalosiphon fontinalis;5.25
Hapalosiphon hibernicus;5.25
Heribaudiella fluviatilis;7.34
Heteroleibleinia kuetzingii;7.17
Heteroleibleinia leptonema;7.03
Homoeothrix batrachospermorum;7.18
Homoeothrix janthina;7.12
Homoeothrix varians;6.94
Hydrococcus rivularis;6.97
Hydrurus foetidus;6.92
Klebsormidium montanum;5.56
Klebsormidium rivulare;6.02
Lemanea condensata;6.52
Lemanea fluviatilis;7.11
Lemanea fluviatiis (90-110u);7.11
Lemanea fluviatilis (150u);7.11
Lemanea fluviatilis (50-60u);7.11
Lemanea fucina;6.85
Merismopedia glauca;5.42
Merismopedia punctata;5.86
Merismopedia tenuissima;5.76
Microspora abbreviata;6.50
Microspora amoena;7.18
Microspora loefgrenii (18-23u);5.57
Microspora palustris;5.60
Microspora palustris var minor;5.66
Mougeotia a/b (10-18u);5.57
Mougeotia d (25-30u);6.98
Mougeotia e (30-40u);7.16
Nostoc parmelioides;7.22
Nostoc sphaericum;7.31
Nostoc verrucosum;7.25
Oedogonium b (13-18u);6.92
Oedogonium c (23-28u);7.09
Oedogonium d (29-32u);7.27
Oedogonium e (35-43u);7.27
Oscillatoria amoena;6.86
Penium spp.;5.65
Phormidium autumnale;7.17
Phormidium heteropolare;6.80
Phormidium irriguum;7.38
Phormidium limosum;7.10
Phormidium nigrum;7.09
Protoderma viride;6.73
Rhabdoderma lineare;5.28
Rivularia biasolettiana;7.20
Rivularia haematites;7.03
Schizochlamys gelitanosa;6.48
Schizothrix lacustris;6.36
Schizothrix lateritia;6.86
Scytonema mirabile;5.65
Scytonematopsis starmachii;5.48
Siphonema polonicum;5.30
Spirogyra a  (20-42u,1K,L);7.01
Spirogyra b1 (16-20u,1K,L,l/b:2-3);7.21
Spirogyra c1 (34-49u,2-3K,L,l/b>3,svart);7.23
Spirogyra lapponica (26u,1K,L,svart);7.07
Spirogyra majuscula;7.34
Spirogyra sp1 (11-20u,1K,R);7.03
Spirogyra sp2 (30-38u,2K,R);7.22
Spondylosium planum;7.15
Stigeoclonium tenue;7.19
Stigonema hormoides;5.19
Stigonema mamillosum;6.25
Stigonema minutum;5.46
Stigonema multipartitum;5.25
Stigonema ocellatum;5.38
Stigonema ocellatum var.globosum;5.47
Teilingia excavata;6.45
Teilingia granulata;7.02
Tetraspora cylindrica;7.38
Tetraspora gelatinosa;7.18
Tolypothrix distorta;7.17
Tolypothrix penicillata;6.97
Tolypothrix saviczii;7.31
Ulothrix subtilis;7.19
Ulothrix zonata;7.26
Zygnema b (22-25u);6.99
Zygnema c (30-40u);7.04
Zygogonium sp3 (16-20u);5.40